title,category,seniority,experience_years_min,experience_years_max,salary_min_tnd,salary_avg_tnd,salary_max_tnd,currency,period,education,top_skills,region,source
Financial Analyst,Finance,Lead,8,15,4650,5450,6450,TND,mensuel_brut,Master,"Analyse financière, Excel, Reporting, Budget",Tunisie,estimation_marche_TN_reference
Management Controller,Finance,Junior,0,2,1550,1850,2200,TND,mensuel_brut,Licence,"Contrôle de gestion, Reporting, Excel, Budget",Tunisie,estimation_marche_TN_reference
Management Controller,Finance,Mid,2,4,2550,3000,3550,TND,mensuel_brut,Ingénieur/Master,"Contrôle de gestion, Reporting, Excel, Budget",Tunisie,estimation_marche_TN_reference
Management Controller,Finance,Senior,5,8,3800,4450,5250,TND,mensuel_brut,Ingénieur/Master,"Contrôle de gestion, Reporting, Excel, Budget",Tunisie,estimation_marche_TN_reference
Management Controller,Finance,Lead,8,15,4950,5850,6900,TND,mensuel_brut,Master,"Contrôle de gestion, Reporting, Excel, Budget",Tunisie,estimation_marche_TN_reference
Finance Manager,Finance,Senior,5,8,5650,6650,7850,TND,mensuel_brut,Ingénieur/Master,"Finance, Management, Reporting, Fiscalité, Leadership",Tunisie,estimation_marche_TN_reference
Finance Manager,Finance,Lead,8,15,7500,8800,10400,TND,mensuel_brut,Master,"Finance, Management, Reporting, Fiscalité, Leadership",Tunisie,estimation_marche_TN_reference
Office Manager,Admin,Senior,5,8,2400,2800,3300,TND,mensuel_brut,Ingénieur/Master,"Administration, Organisation, Excel, Communication",Tunisie,estimation_marche_TN_reference
Office Manager,Admin,Lead,8,15,3150,3700,4350,TND,mensuel_brut,Master,"Administration, Organisation, Excel, Communication",Tunisie,estimation_marche_TN_reference
Technical Support,Support,Junior,0,2,1000,1200,1400,TND,mensuel_brut,Licence,"Support, Troubleshooting, ITIL, Communication",Tunisie,estimation_marche_TN_reference
Technical Support,Support,Mid,2,4,1600,1900,2250,TND,mensuel_brut,Ingénieur/Master,"Support, Troubleshooting, ITIL, Communication",Tunisie,estimation_marche_TN_reference
Technical Support,Support,Senior,5,8,2400,2800,3300,TND,mensuel_brut,Ingénieur/Master,"Support, Troubleshooting, ITIL, Communication",Tunisie,estimation_marche_TN_reference
Technical Support,Support,Lead,8,15,3150,3700,4350,TND,mensuel_brut,Master,"Support, Troubleshooting, ITIL, Communication",Tunisie,estimation_marche_TN_reference
Customer Success,Support,Junior,0,2,1250,1450,1700,TND,mensuel_brut,Licence,"Relation client, Support, CRM, Communication",Tunisie,estimation_marche_TN_reference
Customer Success,Support,Mid,2,4,1950,2300,2700,TND,mensuel_brut,Ingénieur/Master,"Relation client, Support, CRM, Communication",Tunisie,estimation_marche_TN_reference
Customer Success,Support,Senior,5,8,2900,3400,4000,TND,mensuel_brut,Ingénieur/Master,"Relation client, Support, CRM, Communication",Tunisie,estimation_marche_TN_reference
Customer Success,Support,Lead,8,15,3800,4500,5300,TND,mensuel_brut,Master,"Relation client, Support, CRM, Communication",Tunisie,estimation_marche_TN_reference
Software Engineer,Tech,Mid,2,5,1400,1800,2150,TND,mensuel_brut,Ingénieur/Licence,"Java, Python, SQL, Git, REST",Tunis,salaryexplorer_TN_2026 (annuel->mensuel)
Web Developer,Tech,Mid,1,4,900,1100,1350,TND,mensuel_brut,Ingénieur/Licence,"HTML, CSS, JavaScript, PHP, WordPress",Tunis,salaryexplorer_TN_2026 (annuel->mensuel)
Sr. Software Engineer,Tech,Senior,5,10,1200,1500,1800,TND,mensuel_brut,Ingénieur/Licence,"Java, Microservices, SQL, Architecture, Cloud",Tunis,salaryexplorer_TN_2026 (annuel->mensuel)
Graphic Designer (enquête),Design,Mid,1,5,750,950,1150,TND,mensuel_brut,Ingénieur/Licence,"Photoshop, Illustrator, Figma, Design",Tunis,salaryexplorer_TN_2026 (annuel->mensuel)
Software Developer,Tech,Mid,2,5,1000,1250,1500,TND,mensuel_brut,Ingénieur/Licence,"C#, .NET, SQL, JavaScript",Tunis,salaryexplorer_TN_2026 (annuel->mensuel)
Data Analyst (enquête),Data,Mid,1,4,950,1200,1450,TND,mensuel_brut,Ingénieur/Licence,"SQL, Excel, Power BI, Python, Tableau",Tunis,salaryexplorer_TN_2026 (annuel->mensuel)
Mechanical Engineer,Engineering,Mid,2,6,1450,1850,2200,TND,mensuel_brut,Ingénieur/Licence,"CAO, SolidWorks, Mécanique",Tunis,salaryexplorer_TN_2026 (annuel->mensuel)
